"year","catch","effort","cpue"
"1934",1934,60913,5879,10.36111584
"1935",1935,72294,6295,11.48435266
"1936",1936,78353,6771,11.57185054
"1937",1937,91522,8233,11.11648245
"1938",1938,78288,6830,11.46237189
"1939",1939,110417,10488,10.52793669
"1940",1940,114590,10801,10.60920285
"1941",1941,76841,9584,8.017633556
"1942",1942,41965,5961,7.039926187
"1943",1943,50058,5930,8.44148398
"1944",1944,64094,6397,10.01938409
"1945",1945,89194,9377,9.511997441
"1946",1946,129701,13958,9.292233844
"1947",1947,160134,20381,7.857023699
"1948",1948,200340,23984,8.353068712
"1949",1949,192458,23013,8.36301221
"1950",1950,224810,31856,7.057069312
"1951",1951,183685,18726,9.809088967
"1952",1952,192234,31529,6.097053506
"1953",1953,138918,36423,3.814018615
"1954",1954,138623,24995,5.546029206
"1955",1955,140581,17806,7.895147703
