"year","effort","catch","cpue"
"9",1942,5961,41965,7.0399261868814
"10",1943,5930,50058,8.44148397976391
"1",1934,5879,60913,10.3611158360265
"11",1944,6397,64094,10.0193840862904
"2",1935,6295,72294,11.4843526608419
"8",1941,9584,76841,8.01763355592654
"5",1938,6830,78288,11.4623718887262
"3",1936,6771,78353,11.5718505390637
"12",1945,9377,89194,9.51199744054602
"4",1937,8233,91522,11.1164824486821
"6",1939,10488,110417,10.52793668955
"7",1940,10801,114590,10.6092028515878
"13",1946,13958,129701,9.29223384439031
"21",1954,24995,138623,5.54602920584117
"20",1953,36423,138918,3.81401861461165
"22",1955,17806,140581,7.89514770302145
"14",1947,20381,160134,7.85702369854276
"18",1951,18726,183685,9.80908896721136
"19",1952,31529,192234,6.09705350629579
"16",1949,23013,192458,8.36301221048972
"15",1948,23984,200340,8.35306871247498
"17",1950,31856,224810,7.05706931190357
